Species,Fish,Temp,ETS
black,1,11,0.3464789
black,1,14,0.53239
black,1,17,0.512957746
black,1,20,0.811267606
black,1,23,1.014084507
black,1,26,1.149295775
black,1,29,0.794366197
black,1,32,0.836619718
black,1,35,0.921126761
black,1,38,0.836619718
black,1,41,0.557746479
black,1,44,0.287323944
black,2,11,0.388732394
black,2,14,0.447887324
black,2,17,0.692957746
black,2,20,0.76056338
black,2,23,1.03943662
black,2,26,1.174647887
black,2,29,1.2
black,2,32,0.692957746
black,2,35,0.633802817
black,2,38,0.481690141
black,2,41,0.405633803
black,2,44,0.101408451
black,3,11,0.194366197
black,3,14,0.329577465
black,3,17,0.338028169
black,3,20,0.481690141
black,3,23,0.6
black,3,26,0.6
black,3,29,0.676056338
black,3,32,0.608450704
black,3,35,0.312676056
black,3,38,0.338028169
black,3,41,0
black,3,44,0.152112676
black,4,11,0.16056338
black,4,14,0.211267606
black,4,17,0.371830986
black,4,20,0.464788732
black,4,23,0.430985915
black,4,26,0.456338028
black,4,29,0.447887324
black,4,32,0.473239437
black,4,35,0.304225352
black,4,38,0.312676056
black,4,41,0.253521127
black,4,44,0
black,5,11,0.202816901
black,5,14,0.202816901
black,5,17,0.261971831
black,5,20,0.05915493
black,5,23,0.338028169
black,5,26,0.312676056
black,5,29,0.38028169
black,5,32,0.354929577
black,5,35,0.245070423
black,5,38,0.312676056
black,5,41,0.261971831
black,5,44,0.228169014
black,6,11,0.261971831
black,6,14,0.278873239
black,6,17,0.346478873
black,6,20,0.608450704
black,6,23,0.684507042
black,6,26,0.794366197
black,6,29,0.895774648
black,6,32,0.532394366
black,6,35,0.430985915
black,6,38,0.388732394
black,6,41,0.447887324
black,6,44,0.033802817
black,7,11,0.126760563
black,7,14,0.236619718
black,7,17,0.253521127
black,7,20,0.371830986
black,7,23,0.490140845
black,7,26,0.481690141
black,7,29,0.709859155
black,7,32,0.422535211
black,7,35,0.473239437
black,7,38,0.236619718
black,7,41,0.109859155
black,7,44,0.008450704
black,8,11,0.076056338
black,8,14,0.042253521
black,8,17,0.016901408
black,8,20,0.354929577
black,8,23,0.278873239
black,8,26,0.21971831
black,8,29,0.464788732
black,8,32,0.405633803
black,8,35,0.490140845
black,8,38,0.388732394
black,8,41,0.109859155
black,8,44,0.016901408
black,9,11,0.287323944
black,9,14,0.338028169
black,9,17,0.532394366
black,9,20,0.633802817
black,9,23,0.845070423
black,9,26,0.870422535
black,9,29,0.743661972
black,9,32,0.828169014
black,9,35,0.743661972
black,9,38,0.65915493
black,9,41,0.253521127
black,9,44,0.033802817
black,10,11,0.042253521
black,10,14,0.101408451
black,10,17,0.109859155
black,10,20,0.126760563
black,10,23,0.194366197
black,10,26,0.253521127
black,10,29,0.245070423
black,10,32,0.245070423
black,10,35,0.430985915
black,10,38,0.084507042
black,10,41,0
black,10,44,0
creek,1,11,0.135211
creek,1,14,0.177464789
creek,1,17,0.338028169
creek,1,20,0.456338028
creek,1,23,0.38028169
creek,1,26,0.456338028
creek,1,29,0.726760563
creek,1,32,0.76056338
creek,1,35,0.794366197
creek,1,38,0.566197183
creek,1,41,0.287323944
creek,1,44,0
creek,2,11,0.169014085
creek,2,14,0.245070423
creek,2,17,0.304225352
creek,2,20,0.447887324
creek,2,23,0.549295775
creek,2,26,0.701408451
creek,2,29,0.718309859
creek,2,32,0.608450704
creek,2,35,0.557746479
creek,2,38,0.523943662
creek,2,41,0
creek,2,44,0.228169014
creek,3,11,0.228169014
creek,3,14,0.236619718
creek,3,17,0.388732394
creek,3,20,0.515492958
creek,3,23,0.650704225
creek,3,26,0.608450704
creek,3,29,0.523943662
creek,3,32,0.718309859
creek,3,35,0.743661972
creek,3,38,0.701408451
creek,3,41,0.490140845
creek,3,44,0.321126761
creek,4,11,0.109859155
creek,4,14,0.143661972
creek,4,17,0.270422535
creek,4,20,0.202816901
creek,4,23,0.321126761
creek,4,26,0.338028169
creek,4,29,0.321126761
creek,4,32,0.228169014
creek,4,35,0.397183099
creek,4,38,0.270422535
creek,4,41,0.05915493
creek,4,44,0.211267606
creek,5,11,0.067605634
creek,5,14,0.177464789
creek,5,17,0.118309859
creek,5,20,0.194366197
creek,5,23,0.321126761
creek,5,26,0.490140845
creek,5,29,0.473239437
creek,5,32,0.616901408
creek,5,35,0.684507042
creek,5,38,0.701408451
creek,5,41,0.464788732
creek,5,44,0.008450704
creek,6,11,0.295774648
creek,6,14,0.363380282
creek,6,17,0.557746479
creek,6,20,0.549295775
creek,6,23,0.665070423
creek,6,26,0.616901408
creek,6,29,0.6
creek,6,32,0.684507042
creek,6,35,0.692957746
creek,6,38,0.642253521
creek,6,41,0.430985915
creek,6,44,0.422535211
creek,7,11,0.295774648
creek,7,14,0.414084507
creek,7,17,0.447887324
creek,7,20,0.642253521
creek,7,23,0.802816901
creek,7,26,0.954929577
creek,7,29,1.064788732
creek,7,32,1.073239437
creek,7,35,1.352112676
creek,7,38,0.954929577
creek,7,41,0.735211268
creek,7,44,0.312676056
creek,8,11,0.084507042
creek,8,14,0.312676056
creek,8,17,0.21971831
creek,8,20,0.270422535
creek,8,23,0.236619718
creek,8,26,0.304225352
